Ticker,Date,Price,Flow
USD/JPY_B,1/18/2017 20:00,114.795,1.014504
USD/JPY_B,1/18/2017 21:00,114.782,1.014099
USD/JPY_B,1/18/2017 22:00,114.644,-1.018978
USD/JPY_B,1/18/2017 23:00,114.612,-1.059308
USD/JPY_B,1/19/2017 0:00,114.504,-1.055076
USD/JPY_B,1/19/2017 1:00,114.571,-1.030869
USD/JPY_B,1/19/2017 2:00,114.6,-1.034174
USD/JPY_B,1/19/2017 3:00,114.828,1.03376
USD/JPY_B,1/19/2017 4:00,114.643,-1.010859
USD/JPY_B,1/19/2017 5:00,114.551,-1.04876
USD/JPY_B,1/19/2017 6:00,114.674,-1.045408
USD/JPY_B,1/19/2017 7:00,114.569,-1.03376
USD/JPY_B,1/19/2017 8:00,114.565,-1.027986
USD/JPY_B,1/19/2017 9:00,114.94,1.025522
USD/JPY_B,1/19/2017 10:00,115.494,1.009243
USD/JPY_B,1/19/2017 11:00,115.274,1.008435
USD/JPY_B,1/19/2017 12:00,115.3,-1.019794
USD/JPY_B,1/19/2017 13:00,115.408,1.012477
USD/JPY_B,1/19/2017 14:00,115.284,1.016942
USD/JPY_B,1/19/2017 15:00,114.79,1.033347
USD/JPY_B,1/19/2017 16:00,114.84,1.007226
USD/JPY_B,1/19/2017 17:00,114.852,1.022654
USD/JPY_B,1/19/2017 18:00,115.054,1.008839
USD/JPY_B,1/19/2017 19:00,114.936,-1.011668
USD/JPY_B,1/19/2017 20:00,115.097,1.005616
USD/JPY_B,1/19/2017 21:00,114.686,-1.026753
USD/JPY_B,1/19/2017 22:00,114.741,-1.047083
USD/JPY_B,1/19/2017 23:00,114.601,-1.064836
USD/JPY_B,1/20/2017 0:00,114.728,-1.072968
USD/JPY_B,1/20/2017 1:00,114.826,-1.063132
USD/JPY_B,1/20/2017 2:00,114.65,-1.086811
USD/JPY_B,1/20/2017 3:00,114.794,-1.069536
USD/JPY_B,1/20/2017 4:00,114.98,-1.056767
USD/JPY_B,1/20/2017 5:00,115.116,1.00441
USD/JPY_B,1/20/2017 6:00,115.18,1.045827
USD/JPY_B,1/20/2017 7:00,115.26,1.067825
USD/JPY_B,1/20/2017 8:00,115.206,1.013693
USD/JPY_B,1/20/2017 9:00,114.946,-1.020202
USD/JPY_B,1/20/2017 10:00,115.204,1.010454
USD/JPY_B,1/20/2017 11:00,115.032,-1.004812
USD/JPY_B,1/20/2017 12:00,115.041,1.01491
USD/JPY_B,1/20/2017 13:00,114.884,-1.039152
USD/JPY_B,1/20/2017 14:00,114.737,-1.046664
USD/JPY_B,1/20/2017 15:00,114.298,-1.133106
USD/JPY_B,1/20/2017 16:00,114.488,-1.136752
USD/JPY_B,1/20/2017 17:00,114.569,-1.127207
USD/JPY_B,1/22/2017 18:00,114.386,-1.096436
USD/JPY_B,1/22/2017 19:00,113.808,-1.157032
USD/JPY_B,1/22/2017 20:00,113.894,-1.152853
USD/JPY_B,1/22/2017 21:00,113.642,-1.167317
USD/JPY_B,1/22/2017 22:00,113.621,-1.155637
USD/JPY_B,1/22/2017 23:00,113.619,-1.124495
USD/JPY_B,1/23/2017 0:00,113.746,-1.116402
USD/JPY_B,1/23/2017 1:00,113.343,-1.081599
USD/JPY_B,1/23/2017 2:00,113.358,-1.103934
USD/JPY_B,1/23/2017 3:00,113.485,-1.074258
USD/JPY_B,1/23/2017 4:00,113.649,-1.067825
USD/JPY_B,1/23/2017 5:00,113.63,-1.080732
USD/JPY_B,1/23/2017 6:00,113.549,-1.136296
USD/JPY_B,1/23/2017 7:00,113.675,-1.051282
USD/JPY_B,1/23/2017 8:00,113.41,-1.047502
USD/JPY_B,1/23/2017 9:00,113.381,-1.053388
USD/JPY_B,1/23/2017 10:00,113.756,1.027986
USD/JPY_B,1/23/2017 11:00,113.004,1.027575
USD/JPY_B,1/23/2017 12:00,112.893,1.03376
USD/JPY_B,1/23/2017 13:00,113.059,1.066543
USD/JPY_B,1/23/2017 14:00,113.108,1.042484
USD/JPY_B,1/23/2017 15:00,113.01,1.032107
USD/JPY_B,1/23/2017 16:00,113.118,1.058037
USD/JPY_B,1/23/2017 17:00,112.71,1.047083
USD/JPY_B,1/23/2017 18:00,112.572,1.090301
USD/JPY_B,1/23/2017 19:00,112.787,1.097755
USD/JPY_B,1/23/2017 20:00,112.779,1.109705
USD/JPY_B,1/23/2017 21:00,112.953,1.082032
USD/JPY_B,1/23/2017 22:00,112.796,1.090738
USD/JPY_B,1/23/2017 23:00,112.725,1.093802
USD/JPY_B,1/24/2017 0:00,112.974,1.088991
USD/JPY_B,1/24/2017 1:00,112.892,1.091613
USD/JPY_B,1/24/2017 2:00,113.159,1.088119
USD/JPY_B,1/24/2017 3:00,113.366,1.092488
